place_id,name,cree_id,latitude,longitude,regular,premium,diesel,amenity,road,hamlet,city,county,state,ISO3166-2-lvl4,postcode
25694,"OPERADORA LA HERRADURA, S.A. DE C.V.",PL/22064/EXP/ES/2019,20.96656,-101.4568,20.89,24.49,22.69,,Carretera Irapuato-León,,Silao,Silao de la Victoria,Guanajuato,MX-GUA,36273
25695,PETRO EL RANCHO S.A. DE C.V.,PL/22065/EXP/ES/2019,20.39535,-99.99216,20.84,22.64,22.44,,Boulevard Pablo Cabrera,,San Juan del Río,San Juan del Río,Querétaro,MX-QUE,76803
25696,"PETROMAX, S.A. DE C.V.",PL/22066/EXP/ES/2019,32.63633,-115.453,20.99,23.49,22.937577935115712,,Calzada Independencia,,Mexicali,,Baja California,MX-BCN,21280
25697,"SERVICIOS INTELIGENTES FLOMAR, S.A. DE C.V.",PL/22067/EXP/ES/2019,20.36555,-103.5915,21.99,23.79,22.937577935115712,,MEX 54,,,Acatlán de Juárez,Jalisco,MX-JAL,45700
25698,SERVICIO ECO FENG HUANG EXPRESS S.A DE C.V.,PL/22068/EXP/ES/2019,19.22883,-102.7051,23.72,25.61,25.09,,Calle 16 de Septiembre,,,Buenavista,Michoacán,MX-MIC,
25699,"SERVICIO FACIL DEL SURESTE, S.A. DE C.V.",PL/22069/EXP/ES/2019,18.11887,-94.14469,20.59,22.29,22.59,,Avenida Transistmica,,,Agua Dulce,Veracruz,MX-VER,96680
25700,"SERVICIO FACIL DEL SURESTE, S.A. DE C.V.",PL/22070/EXP/ES/2019,18.59687,-95.454,20.79,22.39,22.79,,Carreterra Costera del Golfo,,,Angel R. Cabada,Veracruz,MX-VER,
25785,COMBUSTIBLES VELARDE ESPINOZA SA DE CV,PL/22143/EXP/ES/2019,25.77241,-109.0005,22.85,23.99,23.75,,Boulevard Centenario,,Los Mochis,Ahome,Sinaloa,MX-SIN,81270
25786,CCORPORATIVO GLOBAL ROCA S.A. DE C.V.,PL/22144/EXP/ES/2019,22.73468,-102.3418,20.99,22.98,22.59,,Carretera Zacatecas-Aguascalientes,,,Trancoso,Zacatecas,MX-ZAC,
25787,EFRAIN GURRIA PENAGOS,PL/22145/EXP/ES/2019,16.77418,-93.16299,21.15,23.1,23.0,,Calle Libramiento Norte Poniente,Nuevo Eden,,Tuxtla Gutiérrez,Chiapas,MX-CHP,29020
25788,ESTACION DE SERVICIO TGM SA DE CV,PL/22146/EXP/ES/2019,28.22428,-100.7257,23.49,24.98,24.49,Pemex,Calle Nicolás Bravo,,,Villa Unión,Coahuila,MX-COA,26600
25789,"Energía, Combustible y Lubricante, S. de R.L. de C.V.",PL/22147/EXP/ES/2019,20.58372,-100.4041,20.6,23.0,22.35,,Avenida Ignacio Zaragoza,,Santiago de Querétaro,Municipio de Querétaro,Querétaro,MX-QUE,76070
25790,JOAQUIN AVIÑA SANCHEZ,PL/22148/EXP/ES/2019,32.52782,-117.0535,21.430554062598798,23.37142058923129,22.937577935115712,Casa de Coronado's Café,Avenida París,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22054
25791,LIGARE S.A. DE C.V.,PL/22149/EXP/ES/2019,24.74552,-107.3954,21.89,23.91,24.99,,,,Culiacán Rosales,Culiacán,Sinaloa,MX-SIN,80197
25792,MEGA GASOLINERAS S.A DE C.V,PL/22150/EXP/ES/2019,21.78483,-102.2809,22.29,24.99,22.99,,Carretera Aguascalientes-León,,Aguascalientes,Municipio de Aguascalientes,Aguascalientes,MX-AGU,20340
25793,MEGA GASOLINERAS S.A DE C.V,PL/22151/EXP/ES/2019,20.41217,-101.7343,21.29,24.99,22.39,,Carretera Federal 90,,,,Guanajuato,MX-GUA,36937
25794,MEGA GASOLINERAS S.A DE C.V,PL/22152/EXP/ES/2019,20.58513,-101.0214,20.99,24.69,22.99,,Autopista de Peaje Celaya-Salamanca,,,Santa Cruz de Juventino Rosas,Guanajuato,MX-GUA,38255
25795,MEGA GASOLINERAS S.A DE C.V,PL/22153/EXP/ES/2019,20.54657,-100.7959,21.29,24.99,22.99,,Camino a San Miguel Octopan,,Celaya,Celaya,Guanajuato,MX-GUA,38035
25796,MIGUEL ANGEL GONZALEZ MANJARREZ,PL/22154/EXP/ES/2019,19.29107,-99.67695,20.07,21.97,22.937577935115712,BP,Calle Paseo de los Matlazincas,,Toluca,Toluca,Estado de México,MX-MEX,50110
25797,"SAGIS SCORP, S.A. DE C.V.",PL/22155/EXP/ES/2019,24.07643,-104.6647,21.66,22.66,24.66,,Carretera La Zarca-Durango,,,Municipio de Durango,Durango,MX-DUR,34166
25798,"SERVICIO EFIGAS, S. DE R.L. DE C.V.",PL/22156/EXP/ES/2019,32.50575,-117.023,20.99,24.99,22.09,,Boulevard Cuauhtémoc Sur,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22045
25799,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",PL/22157/EXP/ES/2019,20.21338,-102.8014,22.69,24.79,23.59,,,,,Poncitlán,Jalisco,MX-JAL,
25800,SERVICIOS INTEGRALES DE TLAQUEPAQUE S.A. DE C.V.,PL/22158/EXP/ES/2019,20.78004,-102.5576,22.09,23.89,23.29,,Carretera Tepatitlán-Las Adjuntas,,,San Ignacio Cerro Gordo,Jalisco,MX-JAL,47601
25801,"SERVIGAS HUIXTLA, S.A. DE C.V.",PL/22159/EXP/ES/2019,15.14662,-92.47206,22.53,23.51,23.99,,,,,Huixtla,Chiapas,MX-CHP,
25802,SERVICIO PADRE RICARDO NIEVES S.A. DE C. V.  ,PL/22160/EXP/ES/2019,22.22439,-102.3052,21.24,23.04,22.36,Oxxo Gas,Carretera Rincón de Romos-Loreto,,,Rincón de Romos,Aguascalientes,MX-AGU,20405
25803,"SERVICIO ROTONDA ACUÑA, S.A. DE C.V.",PL/22161/EXP/ES/2019,28.71547,-100.5611,17.89,19.69,21.39,,Avenida Román Cepeda,,Piedras Negras,Municipio de Piedras Negras,Coahuila,MX-COA,26085
25805,Tilan Sa de Cv,PL/22162/EXP/ES/2019,16.82919,-99.81292,22.1,23.89,23.99,,,,Acapulco,Acapulco de Juárez,Guerrero,MX-GRO,39300
25841,AUTOSERVICIO EL PUEBLITO  S. DE RL. DE CV. ,PL/22142/EXP/ES/2019,26.01407,-105.281,22.65,24.55,24.35,,Ramal a Indé,,,Indé,Durango,MX-DUR,
25883,INTEGRADORA DE TRANSPORTISTAS FRONTERIZOS SA DE CV,PL/22229/EXP/ES/2019,31.6301,-106.4201,16.9,19.16,22.937577935115712,,Calle Enrique Pinocelli,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32695
25885,ANROSA S.A. DE C.V.,PL/22216/EXP/ES/2019,19.64336,-99.1836,22.65,23.39,22.99,,Avenida San Antonio,,,Tultitlán,Estado de México,MX-MEX,54915
25888,"COMBUSTIBLES EMPERADOR, S.A. DE C.V.",PL/22219/EXP/ES/2019,19.52395,-98.88154,22.49,23.99,23.99,Total,MEX 136,,,Chiconcuac,Estado de México,MX-MEX,56100
25889,COMBUSTIBLES RAMOS ARIZPE SA DE CV,PL/22220/EXP/ES/2019,25.48118,-100.9066,20.99,22.99,21.99,,Libramiento Oscar Flores Tapia,,,Arteaga,Coahuila,MX-COA,25900
25891,COMBUSTRON 1272 S.A. DE C.V.,PL/22221/EXP/ES/2019,20.6724,-103.4068,22.59,24.45,22.937577935115712,Pemex,Calzada Lázaro Cárdenas,,Zapopan,Zapopan,Jalisco,MX-JAL,45040
25892,"E.Z. INVERSIONES, S.A. DE C.V.",PL/22222/EXP/ES/2019,19.4392,-100.3653,21.29,23.19,22.45,,Calle Lázaro Cárdenas Sur,,Zitácuaro,Zitácuaro,Michoacán,MX-MIC,
25893,"ESTACION DE SERVICIO MARROT, S.A. DE C.V.",PL/22223/EXP/ES/2019,20.5837,-103.2202,21.65,23.65,22.85,Marrot,Carretera Libre a Zapotlanejo,,Tonalá,Tonalá,Jalisco,MX-JAL,45428
25894,ESTACION DE SERVICIO OJO CALIENTE S. A. DE C. V. ,PL/22224/EXP/ES/2019,21.87704,-102.2374,21.59,23.34,22.34,,Carretera Norias de Ojocaliente,,Aguascalientes,Municipio de Aguascalientes,Aguascalientes,MX-AGU,20196
25896,"GRUPO VILLAMON, S.A. DE C.V.",PL/22228/EXP/ES/2019,18.18508,-91.04414,21.69,23.39,22.937577935115712,,Calle 18,,,,Campeche,MX-CAM,24330
25897,PETROPLAZAS S.A. DE C.V.,PL/22231/EXP/ES/2019,23.27114,-106.383,21.69,23.09,24.99,,Calle Amapa,,Mazatlán,Mazatlán,Sinaloa,MX-SIN,82000
