place_id,amenity,road,hamlet,city,county,state,ISO3166-2-lvl4,postcode
11205,Pollo Feliz,Camino a San José de Guanajuato,,Celaya,Celaya,Guanajuato,MX-GUA,38020
11206,,Calle Jacarandas,,,Morelia,Michoacán,MX-MIC,58175
11207,Pemex,Boulevard Francisco González de la Vega,,Gómez Palacio,Gómez Palacio,Durango,MX-DUR,35068
11208,,Periférico Revolución,,Morelia,Morelia,Michoacán,MX-MIC,58210
11209,Shell,Avenida Mariano Otero,,Zapopan,Zapopan,Jalisco,MX-JAL,45089
11325,Energy,Autopista Tijuana-Ensenada,,Rosarito,Municipio de Playas de Rosarito,Baja California,MX-BCN,22700
11326,BP,Avenida Licenciado José López Portillo Poniente,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22435
11327,,Calle James Watt,,Cuautitlán Izcalli,Cuautitlán Izcalli,Estado de México,MX-MEX,54807
11328,Pemex,Avenida 5 de Mayo,,,,Ciudad de México,MX-CMX,01618
11329,,Calle San Javier,,Guanajuato,Municipio de Guanajuato,Guanajuato,MX-GUA,36020
11330,Total,Avenida Antigua Calzada de Guadalupe,,,,Ciudad de México,MX-CMX,02020
11331,,Calle Mariano Escobedo,,,Montemorelos,Nuevo León,MX-NLE,675300
11332,,Prolongación Francisco Primo de Verdad,,Durango,Municipio de Durango,Durango,MX-DUR,34137
11333,PetroBlue,Lateral Periférico Sur,,,Zapopan,Jalisco,MX-JAL,45079
11334,Shell,Circuito Interior,,,,Ciudad de México,MX-CMX,15210
11335,,MEX 15;MEX 110,,,Jiquilpan,Michoacán,MX-MIC,
11336,,Avenida Alta Tensión,,,,Ciudad de México,MX-CMX,01180
11337,G500,Avenida Torres de Ixtapantongo,,,,Ciudad de México,MX-CMX,01780
11338,G500,Boulevard Adolfo López Mateos,,,Comalcalco,Tabasco,MX-TAB,86300
11339,BP,Calle Gobernador Profesor Carlos Hank González,,,Ecatepec de Morelos,Estado de México,MX-MEX,57100
11340,,Pichucalco - Estaciòn Juarèz,,,,Chiapas,MX-CHP,
11341,Pemex,Avenida Emiliano Carranza,,Piedras Negras,Municipio de Piedras Negras,Coahuila,MX-COA,26085
11342,,Carretera Tuxtla Gutiérrez-Arriaga,,,Berriozábal,Chiapas,MX-CHP,29140
