place_id,amenity,road,hamlet,city,county,state,ISO3166-2-lvl4,postcode
4636,,Margarita Maza de Juárez,,Hermosillo,Hermosillo,Sonora,MX-SON,83178
4637,Pemex,Calle 55,,,Tekax,Yucatán,MX-YUC,97970
4638,,Ramal a Ciudad Hidalgo,,,Frontera Hidalgo,Chiapas,MX-CHP,30850
4639,PEMEX,Carretera Libre Zapotlanejo-Tepatitlán,,,Acatic,Jalisco,MX-JAL,45475
4640,,Carretera Matamoros-Ciudad Victoria,,,San Fernando,Tamaulipas,MX-TAM,
4641,,,,,Guasave,Sinaloa,MX-SIN,
4642,,Boulevard Doctor Jesús Valdez Sánchez,,Saltillo,Saltillo,Coahuila,MX-COA,25284
4643,Pemex,Carretera Costera del Golfo,Arbolillo,,Alvarado,Veracruz,MX-VER,95270
4644,Pemex,Vialidad Toluca-Metepec,,Toluca,Toluca,Estado de México,MX-MEX,52169
4645,,,,,Municipio de Reynosa,Tamaulipas,MX-TAM,88610
4646,,Calle 14,,Mérida,Mérida,Yucatán,MX-YUC,97125
4647,,,,Monclova,Monclova,Coahuila,MX-COA,25700
4648,,Carretera Federal Tierra Blanca-Sayula de Alemán,La Lima,,San Juan Evangelista,Veracruz,MX-VER,
4649,,Avenida Benito Juarez,Cerro del Guayabo,,Almoloya de Alquisiras,Estado de México,MX-MEX,
4650,,,,Hermosillo,Hermosillo,Sonora,MX-SON,83293
4651,,Avenida Politecnico Nacional,,Puerto Vallarta,Puerto Vallarta,Jalisco,MX-JAL,48300
4652,,Boulevard Independencia,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,79927
4653,Petroblue,Avenida Cristóbal Colón,,Guadalajara,,Jalisco,MX-JAL,44950
4654,BP,Avenida Convención de 1914 Poniente,,Aguascalientes,Municipio de Aguascalientes,Aguascalientes,MX-AGU,20080
4655,,,,,Zapotiltic,Jalisco,MX-JAL,49603
4656,,Ramal a San Cristóbal,,,Ojocaliente,Zacatecas,MX-ZAC,98710
4657,,,,,Tepoztlán,Morelos,MX-MOR,62520
4658,Pemex,Calle Cenit,,Santiago de Querétaro,Municipio de Querétaro,Querétaro,MX-QUE,76113
4659,,Carretera Uriangato-Morelia,,,Tarímbaro,Michoacán,MX-MIC,58880
4660,Pemex,Avenida Revolución Sur,,Zitácuaro,Zitácuaro,Michoacán,MX-MIC,61500
4661,,Boulevard Músaro,,Hermosillo,Hermosillo,Sonora,MX-SON,83296
4662,,Calle Río Lerma,,,Tonalá,Jalisco,MX-JAL,45413
4663,,Boulevard José María Morelos Norte,,Hermosillo,Hermosillo,Sonora,MX-SON,83205
4664,Pemex E04626,Calle Quinta,,,Madera,Chihuahua,MX-CHH,
4665,,,,Colima,Municipio de Colima,Colima,MX-COL,28000
4666,Shell,Calle Cuauhtémoc,,,Ecatepec de Morelos,Estado de México,MX-MEX,55310
4667,,,,Manzanillo,Manzanillo,Colima,MX-COL,28200
4668,,Calzada a San Juan,San Juan Metztitlán,,Metztitlán,Hidalgo,MX-HID,
4669,,Avenida Tlaxcala,,San Luis Río Colorado,San Luis Río Colorado,Sonora,MX-SON,83400
4670,BP,Avenida Benito Juárez,,,Nogales,Veracruz,MX-VER,94720
4671,,Avenida Maximino Ávila Camacho,,,Martínez de la Torre,Veracruz,MX-VER,93603
4672,,Calle Álvaro Obregón,,Heroica Caborca,Caborca,Sonora,MX-SON,83600
4673,,Antigua Carretera a Pátzcuaro,,,Morelia,Michoacán,MX-MIC,58341
4674,,Fco Javier Mina,,Hermosillo,Hermosillo,Sonora,MX-SON,83280
4675,Akron,Calle Matamoros,,,Tecomán,Colima,MX-COL,28180
4676,Pemex,Carretera Costera del Golfo,La Báscula (La Unión),,Medellín,Veracruz,MX-VER,94277
4677,Banorte,Boulevard Antonio Quiroga,,Hermosillo,Hermosillo,Sonora,MX-SON,83214
4678,Pemex E06835,Avenida Adolfo Lopez Mateos,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32683
4679,BP,Avenida Revolución,,Guadalajara,,Jalisco,MX-JAL,44410
4680,,Calle Araucaria,Los Sabinos (La Curva),,Linares,Nuevo León,MX-NLE,67700
4681,Pemex,Calle Ignacio Zaragoza,,,Soledad de Graciano Sánchez,San Luis Potosí,MX-SLP,78396
4682,,Calle Hilo Blanco,,,Zapopan,Jalisco,MX-JAL,45200
4683,,Carretera Costera del Golfo (Coatzacoalcos-Villahermosa),,,Moloacán,Veracruz,MX-VER,
4684,,Camino a San Andrés,,,Ecatepec de Morelos,Estado de México,MX-MEX,55520
4685,Servicio Garal,Calle 10,,Heroica Caborca,Caborca,Sonora,MX-SON,83600
4686,,Calzada Independencia,,Mexicali,,Baja California,MX-BCN,21000
4687,Servicio Sayula,Carretera Transístmica (Salina Cruz-Coatzacoalcos),,,Sayula de Alemán,Veracruz,MX-VER,96165
4688,,,,,San José Iturbide,Guanajuato,MX-GUA,37986
4689,,Avenida Constituyentes,,Matamoros,Municipio de Matamoros,Tamaulipas,MX-TAM,87314
4690,PEMEX,Avenida de las Américas,,Guadalajara,,Jalisco,MX-JAL,44600
4691,,Avenida Antonio Nakayama,,Culiacán,Culiacán,Sinaloa,MX-SIN,80194
4692,Pemex,Diagonal 18 A Sur,,Municipio de Puebla,,Puebla,MX-PUE,72520
4693,Bp,Carretera Atizapan Villa Nicolás Romero,,Ciudad Adolfo Lopez Mateos,Atizapán de Zaragoza,Estado de México,MX-MEX,52949
4694,,Carretera Nacional,El Blanquillo Viejo,,Montemorelos,Nuevo León,MX-NLE,
4695,Pemex,Privada de la Reforma,,,Tetlatlahuca,Tlaxcala,MX-TLA,90730
4696,,,,,Centro,Tabasco,MX-TAB,86280
4697,Pemex 2938,Toluca - Ciudad Altamirano,Barrio de Cantarranas,,Temascaltepec,Estado de México,MX-MEX,
4698,,Calle Guadalupe Victoria,,Irapuato,Irapuato,Guanajuato,MX-GUA,36520
4699,,Carretera Federal Martínez de la Torre - Nautla,,,Martínez de la Torre,Veracruz,MX-VER,93600
4700,,,,,Zinapécuaro,Michoacán,MX-MIC,
4701,,Carretera Federal Puebla - Xalapa,San Luis Atexcac,,Guadalupe Victoria,Puebla,MX-PUE,
4702,,Calle 2 Norte Oriente,,,Ángel Albino Corzo,Chiapas,MX-CHP,
4703,PEMEX,Entrada Santiago Ixcuintla-Playa Los Corchos,,,Santiago Ixcuintla,Nayarit,MX-NAY,63554
4704,Pemex E01152,Boulevard Licenciado Oscar Flores Sánchez,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32674
4705,BP,Boulevard Manuel Ávila Camacho,,Naucalpan,Naucalpan de Juárez,Estado de México,MX-MEX,3228
4706,,,,,Eduardo Neri,Guerrero,MX-GRO,40180
4707,Pemex,Carretera Zacatecas-Fresnillo,,,Morelos,Zacatecas,MX-ZAC,98047
4708,,,,,,Chiapas,MX-CHP,
4709,,Apatzingán-Aguililla,,,Buenavista,Michoacán,MX-MIC,
4710,G500,Prolongación Independencia,,,Toluca,Estado de México,MX-MEX,50226
4711,Pemex,Calle Petén,,,,Ciudad de México,MX-CMX,03023
4712,,Cristonbal Colón,,,Jocotepec,Jalisco,MX-JAL,45800
4713,Pemex E07241,Avenida Lerdo,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32040
4714,Pemex,Avenida Parque Chapultepec,,San Luis Potosí,Municipio de San Luis Potosí,San Luis Potosí,MX-SLP,78294
4715,,Boulevard Plinta,,Ensenada,Municipio de Ensenada,Baja California,MX-BCN,22890
4716,PEMEX 6810,Puente de Ixtla - Iguala,,,Buenavista de Cuéllar,Guerrero,MX-GRO,40000
4717,Pemex,MEX 199,,,Ocosingo,Chiapas,MX-CHP,29950
4718,,Libramiento Perimetral,,Hidalgo del Parral,Hidalgo del Parral,Chihuahua,MX-CHH,33890
4719,,Calle Niños Héroes,,,Unión de San Antonio,Jalisco,MX-JAL,47575
4720,,Callejón Nieto,,,Municipio de Tijuana,Baja California,MX-BCN,22217
4721,,MEX 129,,,Martínez de la Torre,Veracruz,MX-VER,93600
4722,Farmacia Veterinaria La Casa Del Granjero,Calle Benito Juárez García,,,Empalme,Sonora,MX-SON,85330
4723,,,,,Municipio de Querétaro,Querétaro,MX-QUE,67230
4724,,Calle Pino Suárez,,,Tepanco de López,Puebla,MX-PUE,75809
4725,,Boulevard Quetzalcóatl,Santa María el Chico,Tulancingo de Bravo,,Hidalgo,MX-HID,43710
4726,,Secofi,,Culiacán,Culiacán,Sinaloa,MX-SIN,80028
4727,,,,,San Martín Texmelucan,Puebla,MX-PUE,74000
4728,,Avenida Licenciado Manuel Ordóñez,,,Santa Catarina,Nuevo León,MX-NLE,66350
4729,,Calle Universidad,,Hidalgo del Parral,Hidalgo del Parral,Chihuahua,MX-CHH,33826
4730,Pemex,Bulevard Córdoba-Peñuela,Zona Industrial,Córdoba,Córdoba,Veracruz,MX-VER,94590
4731,BP,Avenida Morelos,,,Amatlán de los Reyes,Veracruz,MX-VER,94940
4732,OXXO,Avenida Félix Uresti Gómez,,Monterrey,Monterrey,Nuevo León,MX-NLE,66250
4733,Pemex E06912,Boulevard Zaragoza,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32690
4734,,Calle Prolongación Lago de Chapala,,Nuevo Laredo,Municipio de Nuevo Laredo,Tamaulipas,MX-TAM,88298
4735,,,,,Imuris,Sonora,MX-SON,
4736,Pemex E08076,Rivera del Bravo,,,Municipio de Juárez,Chihuahua,MX-CHH,79927
4737,,Presidentes Municipales,,,Navolato,Sinaloa,MX-SIN,80349
4738,Pemex,Avenida De la Solidaridad Iberoamericana,,Tlaquepaque,San Pedro Tlaquepaque,Jalisco,MX-JAL,45596
4739,,Calle 51,,,Tekax,Yucatán,MX-YUC,97970
4740,,Gurrola Sánchez,,Heroica Caborca,Caborca,Sonora,MX-SON,83600
4741,,Boulevard Paseo del Bosque,,,Municipio de Tijuana,Baja California,MX-BCN,22330
4742,Pemex E09012,Carretera Hidalgo del Parral-Jiménez,,Hidalgo del Parral,Hidalgo del Parral,Chihuahua,MX-CHH,33836
4743,Gulf,Lateral Avenida Revolución,,Monterrey,Monterrey,Nuevo León,MX-NLE,64859
4744,,Carretera Federal Puebla - Xalapa,Toxtlacoaya,,Las Vigas de Ramírez,Veracruz,MX-VER,
4745,Pemex E08015,Avendia Sexta Norte,,Delicias,Delicias,Chihuahua,MX-CHH,33080
4746,,Periférico,,Comitán,Comitán de Domínguez,Chiapas,MX-CHP,30018
4747,,Carretera Estatal: Tenancingo -- San Andrés Nicolás Bravo,,,Tenancingo,Estado de México,MX-MEX,
4748,Pemex E06111,Calle Hospital,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32380
4749,Shell,Avenida Manuel Espinosa Yglesias,,Municipio de Puebla,,Puebla,MX-PUE,72410
4750,,MEX15D,,,Cajeme,Sonora,MX-SON,85065
4751,PEMEX E09870,Prolongación Tulipanes,,Lázaro Cárdenas,Lázaro Cárdenas,Michoacán,MX-MIC,60953
4752,,Carretera Tupátaro-Corralejo,,,Cuerámaro,Guanajuato,MX-GUA,36966
4753,Pemex,Avenida Adolfo López Mateos,,Guadalupe,Guadalupe,Nuevo León,MX-NLE,67118
4754,PEMEX,Boulevard Adolfo Ruiz Cortines,,Xalapa,Xalapa,Veracruz,MX-VER,91010
4755,,Calle Francisco I. Madero,,,Guerrero,Chihuahua,MX-CHH,
4756,Pemex,14a Calle Poniente,,Tapachula,Tapachula,Chiapas,MX-CHP,30700
4757,,Boulevard América,,,San Andrés Cholula,Puebla,MX-PUE,72826
4758,Pemex,Calle Miguel Hidalgo y Costilla,,Toluca,Toluca,Estado de México,MX-MEX,50110
4759,,Calle Fuente de Trevi,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32617
4760,,,,,Acatlán de Juárez,Jalisco,MX-JAL,45700
4761,,Carretera San Juan Teposcolula-Tlaxiaco,Cruz Llorada,,Heroica Ciudad de Tlaxiaco,Oaxaca,MX-OAX,69800
4762,,Calle Vicente Guerrero,,,Huatabampo,Sonora,MX-SON,85900
4763,,,,,Pijijiapan,Chiapas,MX-CHP,
4764,,Boulevard Licenciado Ramón Martín Huerta,,,San Juan de los Lagos,Jalisco,MX-JAL,47050
4765,,General Guadalupe Victoria,,,Tamazula,Durango,MX-DUR,
4766,,8a Calle Oriente,,Tapachula,Tapachula,Chiapas,MX-CHP,30700
4767,Pemex,261,,Mérida,Mérida,Yucatán,MX-YUC,97300
4768,Mixta F 6,Avenida México,,,Unión de Tula,Jalisco,MX-JAL,48000
4769,,Carretera Federal Córdoba - Veracruz,El Copital,,Medellín,Veracruz,MX-VER,94277
4770,,Avenida Doctor Rodolfo Torre Cantú,,Ciudad Madero,Ciudad Madero,Tamaulipas,MX-TAM,89540
4771,,Avenida Centauro del Norte,,Hidalgo del Parral,Hidalgo del Parral,Chihuahua,MX-CHH,33815
4772,Pemex,Prolongación Vía Rápida Oriente,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22128
4773,,Avenida Siete,,Hermosillo,Hermosillo,Sonora,MX-SON,83138
4774,Pemex,Avenida 5 de Mayo,,Toluca,Toluca,Estado de México,MX-MEX,50019
4775,Mobil,Prolongación Zaragoza,,Delegación Josefa Vergara y Hernández,Municipio de Querétaro,Querétaro,MX-QUE,79180
4776,,Calle Juan José Flores,,,Amatitán,Jalisco,MX-JAL,45380
4777,,Ignacio Ramírez,,,Jacona,Michoacán,MX-MIC,
4778,,Avenida Villagrán,,,,Guanajuato,MX-GUA,36910
4779,Pemex,Anillo Periférico Sur Manuel Gómez Morín,,Tlaquepaque,San Pedro Tlaquepaque,Jalisco,MX-JAL,45610
4780,,Avenida Domingo Arrieta,,Mexicali,,Baja California,MX-BCN,21000
4781,,,,,Guasave,Sinaloa,MX-SIN,
4782,Pemex,Avenida Anillo Periférico Norte,,San Luis Potosí,Municipio de San Luis Potosí,San Luis Potosí,MX-SLP,78430
4783,,Adolfo Ruiz Cortines,,Poza Rica,Poza Rica de Hidalgo,Veracruz,MX-VER,93310
4784,cinemex san Juan,Calle Fray Luis Almanza,,,,Ciudad de México,MX-CMX,09210
4785,,Calle Chapultepec,,Manzanillo,Manzanillo,Colima,MX-COL,28200
4786,BP,Calle 13,,,Escárcega,Campeche,MX-CAM,24350
4787,,Avenida Independencia Oriente,,Tehuacán,Tehuacán,Puebla,MX-PUE,75700
4788,,Calle Ignacio Zaragoza,,Ciudad Constitución,Municipio de Comondú,Baja California Sur,MX-BCS,23600
4789,,Carretera La Piedad-Carapan,,,Tlazazalca,Michoacán,MX-MIC,
4790,Pemex,Libramiento Norte de Monterrey,,Apodaca,Apodaca,Nuevo León,MX-NLE,66644
4791,,Calle Comercio,,,San Martín Texmelucan,Puebla,MX-PUE,74000
4792,Pemex,Avenida 5 de Febrero,Heriberto Jara Corona,,Maltrata,Veracruz,MX-VER,94750
4793,,Privada Hilderbrando Siller,,Saltillo,Saltillo,Coahuila,MX-COA,25260
4794,,Boulevard Luis Donaldo Colosio Murrieta,,Mazatlán,Mazatlán,Sinaloa,MX-SIN,82000
4795,Gasolinera,Anillo Periférico Licenciado Manuel Berzunza,,Mérida,Mérida,Yucatán,MX-YUC,97246
4796,,MEX 15D,,,Cajeme,Sonora,MX-SON,
4797,,Calle 1,,,Motul,Yucatán,MX-YUC,
4798,Pemex,Avenida 25 Oriente,,Municipio de Puebla,,Puebla,MX-PUE,72540
4799,Rendichicas,Prolongación 20 de Noviembre,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22100
4800,,Carretera Nazas-Pedricena,La Flor,,Nazas,Durango,MX-DUR,
4801,,Carretera Tenango,,,Tenango del Valle,Estado de México,MX-MEX,
4802,,Avenida Manuel Ávila Camacho,Las Palmas,,Huitziltepec,Puebla,MX-PUE,75641
4803,,Avenida 16a Sur,,Delicias,Delicias,Chihuahua,MX-CHH,33093
4804,,Avenida Universidad,,Villahermosa,Centro,Tabasco,MX-TAB,86120
4805,,Carretera San Juan Teposcolula-Tlaxiaco,Yosobee,,Heroica Ciudad de Tlaxiaco,Oaxaca,MX-OAX,69800
4806,,Retorno a Salamanca,,Salamanca,Salamanca,Guanajuato,MX-GUA,36710
4807,Peme E07226,Calle Santiago Troncoso,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32575
4808,PEMEX,Carretera a Tepic,,,Bahía de Banderas,Nayarit,MX-NAY,67331
4809,,Calle Melchor Múzquiz,,,Progreso,Coahuila,MX-COA,
4810,,Florentino López Tapia,,,San Ignacio Río Muerto,Sonora,MX-SON,
4811,,Carretera Estatal Puebla Coronango,,,Coronango,Puebla,MX-PUE,72670
4812,Pemex,Boulevard Adolfo Ruiz Cortines,,Villahermosa,Centro,Tabasco,MX-TAB,86040
4813,,Calle Solidaridad,,Matamoros,Municipio de Matamoros,Tamaulipas,MX-TAM,87462
4814,Pemex E07613,51A,,Chihuahua,Municipio de Chihuahua,Chihuahua,MX-CHH,31390
4815,Pemex,Boulevard Francisco Eusebio Kino,,,General Plutarco Elías Calles,Sonora,MX-SON,83570
4816,,,Juan Antonio,,San Fernando,Tamaulipas,MX-TAM,
4817,Pemex,Calle Las Delicias,,,Comalcalco,Tabasco,MX-TAB,86300
4818,pemex,Carretera Chiapa de Corzo-Amatenango del Valle,Nuevo Soyatitán,,Venustiano Carranza,Chiapas,MX-CHP,
4819,PEMEX,Toluca - Morelia,,,Almoloya de Juárez,Estado de México,MX-MEX,50920
4820,,Libramiento Sur Daniel Roldán Zimbrón,,La Paz,Municipio de La Paz,Baja California Sur,MX-BCS,23080
4821,BP,Avenida Congreso de la Unión,,,,Ciudad de México,MX-CMX,
4822,,Calle 2 De Marzo,,,Atlacomulco,Estado de México,MX-MEX,50490
4823,Pemex,Avenida Profesor Eloy Cavazos,,Guadalupe,Guadalupe,Nuevo León,MX-NLE,67194
4824,,Boulevard Miguel Hidalgo y Costilla,Residencial Loma Bonita,Reynosa,Municipio de Reynosa,Tamaulipas,MX-TAM,88500
4825,,Avenida Laguna de las Ilusiones,,Villahermosa,Centro,Tabasco,MX-TAB,86029
4826,,Autopista Tijuana-Ensenada,,,Municipio de Ensenada,Baja California,MX-BCN,22765
4827,,Calle Oscar Ulloa Nogales,,Guaymas,Guaymas,Sonora,MX-SON,85400
4828,Pemex,MEX 176,,,Motul,Yucatán,MX-YUC,
4829,,,,,Magdalena,Sonora,MX-SON,
4830,Pemex,MEX 200,Buena Vista,,Zihuatanejo de Azueta,Guerrero,MX-GRO,
4831,Petro 55,Avenida Tonaltecas,,,Tonalá,Jalisco,MX-JAL,45408
4832,,Carretera Federal Tierra Blanca - Sayula de Alemán,Campo Veracruz,,Tres Valles,Veracruz,MX-VER,
4833,Pemex,Avenida Zapopan,,Tepic,Municipio de Tepic,Nayarit,MX-NAY,63059
4834,Pemex E06514,Calle Paseo de la Victoria,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32618
4835,G500,Avenida Doctor Jorge Jiménez Cantú,,Ciudad Adolfo Lopez Mateos,Atizapán de Zaragoza,Estado de México,MX-MEX,52930
4836,,,,,Xochihuehuetlán,Guerrero,MX-GRO,
4837,76,Calzada Rodolfo Sánchez Taboada,,Mexicali,,Baja California,MX-BCN,21000
4838,,SON 20,,Hermosillo,Hermosillo,Sonora,MX-SON,83299
4839,,Avenida Miguel Hidalgo,,,,Chihuahua,MX-CHH,33980
4840,,Esperanza - Rosario,,,Cajeme,Sonora,MX-SON,
4841,,Periférico Luis Donaldo Colosio Murrieta,,Heroica Nogales,Municipio de Nogales,Sonora,MX-SON,84020
4842,,Calle Joaquín Amaro,,,Ciudad Ixtepec,Oaxaca,MX-OAX,70110
4843,,Carretera San Pedro de las Colonias-Torreón,,,Torreón,Coahuila,MX-COA,27106
4844,,Privada Canelo,,Heroica Nogales,Municipio de Nogales,Sonora,MX-SON,84074
4845,Caulli 11455,MEX 176,,,Cansahcab,Yucatán,MX-YUC,
4846,BP,Avenida Mario Colín,,Tlalnepantla,Tlalnepantla de Baz,Estado de México,MX-MEX,5040
4847,Supercharge,Avenida Hacienda San José,,Municipio de Puebla,,Puebla,MX-PUE,72590
4848,PEMEX,Calle Álvaro Obregón Salido,,,Huatabampo,Sonora,MX-SON,85900
4849,Supercarga,Prolongación de la 11 Sur,,Municipio de Puebla,,Puebla,MX-PUE,72490
4850,Pemex,Boulevard Gustavo Díaz Ordaz,,Tijuana,Municipio de Tijuana,Baja California,MX-BCN,22650
4851,,Jesús García,,,Guasave,Sinaloa,MX-SIN,
4852,,Avenida Eje Oriente-Poniente,,,Tizayuca,Hidalgo,MX-HID,43800
4853,Estacion El manzano,Calle Cerezo,,,,Estado de México,MX-MEX,56239
4854,Pemex,Avenida Trabajadores Sociales,,,,Ciudad de México,MX-CMX,09000
4855,Pemex,Eziquio Corona,,Puerto Vallarta,Puerto Vallarta,Jalisco,MX-JAL,48300
4856,Pemex 7690,Boulevard Ignacio Zaragoza,,Nicolás Romero,Nicolás Romero,Estado de México,MX-MEX,54476
4857,,Autopista Colima - Manzanillo,,,Tecomán,Colima,MX-COL,28113
4858,Pemex,Carretera Huichapan-Ixmiquilpan,,,Alfajayucan,Hidalgo,MX-HID,
4859,,Carretera Manzanillo Cihuatlán,,,Manzanillo,Colima,MX-COL,28866
4860,,Carretera Paso de Cunduacán-Estación Juárez,,,Centro,Tabasco,MX-TAB,
4861,,Boulevard Antonio M. Quirasco,,,Las Choapas,Veracruz,MX-VER,96980
4862,,Callejón Félix Contreras,,San Luis Río Colorado,San Luis Río Colorado,Sonora,MX-SON,83400
4863,Pemex,Carretera Yahualica - Teocaltiche,,,Yahualica de González Gallo,Jalisco,MX-JAL,47300
4864,,Avenida Eje 1 Poniente,,Veracruz,Municipio de Veracruz,Veracruz,MX-VER,91779
4865,,Roman Yocopicio,,Hermosillo,Hermosillo,Sonora,MX-SON,83010
4866,,Calle 93 Oriente,,Municipio de Puebla,,Puebla,MX-PUE,72520
4867,BP,Boulevard Vicente Valtierra,,León,León,Guanajuato,MX-GUA,37257
4868,Pemex,Avenida Sinaloa,,Puerto Peñasco,Puerto Peñasco,Sonora,MX-SON,83550
4869,,Calle París,,Ciudad Obregón,Cajeme,Sonora,MX-SON,85000-85059
4870,,Avenida Gustavo Beltrán,,,Etchojoa,Sonora,MX-SON,85281
4871,Pemex,Boulevard García de León,,Morelia,Morelia,Michoacán,MX-MIC,58020
4872,,Calle H. Ayuntamiento,,,Buenavista,Michoacán,MX-MIC,60500
4873,,Cuitláhuac,,Culiacán,Culiacán,Sinaloa,MX-SIN,80090
4874,Gasolinera Lemon,Calle José María Pino Suárez,,,Centro,Tabasco,MX-TAB,86029
4875,Repsol,Avenida Cristóbal Colón,,Guadalajara,,Jalisco,MX-JAL,44930
4876,,Avenida Industrial,,,Frontera,Coahuila,MX-COA,25760
4877,,Francisco Monteverde,,Hermosillo,Hermosillo,Sonora,MX-SON,83140
4878,PEMEX,Avenida Arroyo de Enmedio,,Tonalá,Tonalá,Jalisco,MX-JAL,45426
4879,Pemex 10787,Jorge Jimenez Cantú,,,Atlacomulco,Estado de México,MX-MEX,50490
4880,,Avenida de las Américas,,Guadalajara,,Jalisco,MX-JAL,44650
4881,,México,,,Guasave,Sinaloa,MX-SIN,81110
4882,LeyvaGas,Avenida Tecnológico,,Nuevo Casas Grandes,Nuevo Casas Grandes,Chihuahua,MX-CHH,31700
4883,,Calle Morelia - Pátzcuaro,,,Morelia,Michoacán,MX-MIC,58175
4884,Pemex,Avenida 14 Oriente,,Municipio de Puebla,,Puebla,MX-PUE,72373
4885,,Calzada San Isidro Tecpatl,,Naucalpan,Naucalpan de Juárez,Estado de México,MX-MEX,02710
4886,,Autopista Córdoba - Veracruz,Moralillo,,Medellín,Veracruz,MX-VER,94296
4887,,,,,Atlacomulco,Estado de México,MX-MEX,50450
4888,Gasolinera California,Calle California,,Ciudad Obregón,Cajeme,Sonora,MX-SON,85000-85059
4889,,Carretera Monterrey-Ciudad Victoria,,,Hualahuises,Nuevo León,MX-NLE,67700
4890,Pemex,Avenida Domingo Quiroz y Mora,,Heroica Caborca,Caborca,Sonora,MX-SON,83600
4891,Pemex E06206,Carretera Álvaro Obregón-Ojo de la Yegua,Campo 64B,,Riva Palacio,Chihuahua,MX-CHH,
4892,,Boulevard Joséfa Ortiz de Domínguez,,Puerto Peñasco,Puerto Peñasco,Sonora,MX-SON,83550
4893,PEMEX,Avenida Ignacio L. Vallarta,,Zapopan,Zapopan,Jalisco,MX-JAL,45027
4894,,Central Avenida Oriente,,,Villa Corzo,Chiapas,MX-CHP,
4895,,Carretera Huajuapan,Colonia San Mateo,,Heroica Ciudad de Huajuapan de León,Oaxaca,MX-OAX,69000
4896,Gulf,Calle Cerro del Peñón,,Guadalupe,Guadalupe,Nuevo León,MX-NLE,67180
4897,,Calle Ezequiel Montes,,Santiago de Querétaro,Municipio de Querétaro,Querétaro,MX-QUE,76085
4898,ARCO (Servicio Las Palmas),Avenida Guillermo Chávez,,Navojoa,Navojoa,Sonora,MX-SON,85840
4899,,Carretera Los Naranjos-Pericos,,,Mocorito,Sinaloa,MX-SIN,
4900,Gasolinera Obiispado,Boulevard República,,Piedras Negras,Municipio de Piedras Negras,Coahuila,MX-COA,26085
4901,Pemex,Calle Guerrero,,Irapuato,Irapuato,Guanajuato,MX-GUA,36625
4902,Pemex,Calle Allende,,,Soledad de Graciano Sánchez,San Luis Potosí,MX-SLP,78430
4903,Súper Carga,Prolongación 6 Norte,,,San Pedro Cholula,Puebla,MX-PUE,72770
4904,Pemex,MEX 195,,,Teapa,Tabasco,MX-TAB,
4905,,Avenida Lázaro Cárdenas del Río,,,Cunduacán,Tabasco,MX-TAB,
4906,Pemex E07476,Calle Francisco Baca Gallardo,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32617
4907,,Poza Rica- Tampico,,,Tampico Alto,Veracruz,MX-VER,
4908,,Avenida Oasis de la Revolución,,Ciudad Juárez,Municipio de Juárez,Chihuahua,MX-CHH,32674
4909,,Calle Miguel Hidalgo,,Tuxtepec,San Juan Bautista Tuxtepec,Oaxaca,MX-OAX,68300
4910,,Calle Francisco I. Madero,,,Minatitlán,Veracruz,MX-VER,96700
4911,,Avenida de las Palmas,,Coatzacoalcos,,Veracruz,MX-VER,96523
4912,Pemex E06998,Avenida Universidad,,Chihuahua,Municipio de Chihuahua,Chihuahua,MX-CHH,31100
4913,,Calle Rayón,,,Janos,Chihuahua,MX-CHH,
4914,,Calle 24,,Ticul,Ticul,Yucatán,MX-YUC,97860
4915,Pemex E01406,Avenida Benito Juárez,,,Buenaventura,Chihuahua,MX-CHH,31890
4916,Gasolinera Super Servicio Bogavante 3762,Avenida Benito Juárez,,,Teziutlán,Puebla,MX-PUE,73800
4917,Total,Avenida Siglo XXI,Viña Antigua,,Jesús María,Aguascalientes,MX-AGU,20983
4918,Pemex,Boulevard Valsequillo,,Municipio de Puebla,,Puebla,MX-PUE,72595
4919,Pemex,Calle 12,,Mérida,Mérida,Yucatán,MX-YUC,17144
4920,Supercarga,Boulevard Prolongación de la 11 Sur,,Municipio de Puebla,,Puebla,MX-PUE,72430
4921,,Calzada Anáhuac Norte,,Tecate,Municipio de Tecate,Baja California,MX-BCN,21478
4922,Pemex,Ignacio Allende,,,Culiacán,Sinaloa,MX-SIN,
4923,"Gasolinera y servcios Aeropuerto, S.A. de C.V.",Carretera Puerto Madero-Tapachula,Feliciano Renauld (San Francisco),,Tapachula,Chiapas,MX-CHP,308830
4924,Pemex,Avenida Solidaridad Las Torres,,,Metepec,Estado de México,MX-MEX,52172
4925,Pemex,Carretera Costera del Golfo,Colonia Cerro Canseco,,Catemaco,Veracruz,MX-VER,
